structure,pair_id,selection_count
DEGREE_LIMIT_3,ST001__ST002,4
DEGREE_LIMIT_3,ST001__ST007,1
DEGREE_LIMIT_3,ST001__ST011,1
DEGREE_LIMIT_3,ST001__ST013,1
DEGREE_LIMIT_3,ST001__ST031,3
DEGREE_LIMIT_3,ST001__ST054,1
DEGREE_LIMIT_3,ST002__ST004,3
DEGREE_LIMIT_3,ST002__ST011,2
DEGREE_LIMIT_3,ST002__ST013,1
DEGREE_LIMIT_3,ST002__ST031,1
DEGREE_LIMIT_3,ST003__ST004,2
DEGREE_LIMIT_3,ST003__ST020,1
DEGREE_LIMIT_3,ST003__ST023,1
DEGREE_LIMIT_3,ST003__ST032,3
DEGREE_LIMIT_3,ST003__ST045,1
DEGREE_LIMIT_3,ST003__ST047,5
DEGREE_LIMIT_3,ST003__ST053,1
DEGREE_LIMIT_3,ST004__ST005,1
DEGREE_LIMIT_3,ST004__ST017,1
DEGREE_LIMIT_3,ST004__ST023,1
DEGREE_LIMIT_3,ST004__ST047,2
DEGREE_LIMIT_3,ST004__ST050,2
DEGREE_LIMIT_3,ST004__ST054,3
DEGREE_LIMIT_3,ST005__ST007,2
DEGREE_LIMIT_3,ST005__ST017,1
DEGREE_LIMIT_3,ST005__ST054,4
DEGREE_LIMIT_3,ST006__ST007,1
DEGREE_LIMIT_3,ST006__ST008,4
DEGREE_LIMIT_3,ST006__ST029,4
DEGREE_LIMIT_3,ST006__ST036,1
DEGREE_LIMIT_3,ST006__ST038,1
DEGREE_LIMIT_3,ST006__ST039,1
DEGREE_LIMIT_3,ST006__ST042,1
DEGREE_LIMIT_3,ST007__ST030,1
DEGREE_LIMIT_3,ST007__ST052,2
DEGREE_LIMIT_3,ST008__ST036,4
DEGREE_LIMIT_3,ST008__ST037,1
DEGREE_LIMIT_3,ST008__ST038,2
DEGREE_LIMIT_3,ST008__ST039,1
DEGREE_LIMIT_3,ST009__ST015,1
DEGREE_LIMIT_3,ST009__ST036,2
DEGREE_LIMIT_3,ST009__ST038,2
DEGREE_LIMIT_3,ST009__ST039,4
DEGREE_LIMIT_3,ST010__ST012,2
DEGREE_LIMIT_3,ST010__ST014,3
DEGREE_LIMIT_3,ST010__ST026,5
DEGREE_LIMIT_3,ST010__ST028,4
DEGREE_LIMIT_3,ST011__ST023,1
DEGREE_LIMIT_3,ST011__ST047,1
DEGREE_LIMIT_3,ST011__ST050,4
DEGREE_LIMIT_3,ST011__ST053,1
DEGREE_LIMIT_3,ST012__ST014,1
DEGREE_LIMIT_3,ST012__ST027,1
DEGREE_LIMIT_3,ST012__ST028,2
DEGREE_LIMIT_3,ST013__ST014,1
DEGREE_LIMIT_3,ST013__ST026,4
DEGREE_LIMIT_3,ST013__ST027,3
DEGREE_LIMIT_3,ST014__ST026,2
DEGREE_LIMIT_3,ST015__ST016,3
DEGREE_LIMIT_3,ST015__ST024,1
DEGREE_LIMIT_3,ST016__ST024,4
DEGREE_LIMIT_3,ST016__ST025,5
DEGREE_LIMIT_3,ST016__ST028,1
DEGREE_LIMIT_3,ST016__ST042,1
DEGREE_LIMIT_3,ST016__ST051,1
DEGREE_LIMIT_3,ST017__ST038,1
DEGREE_LIMIT_3,ST017__ST042,2
DEGREE_LIMIT_3,ST017__ST052,4
DEGREE_LIMIT_3,ST018__ST019,1
DEGREE_LIMIT_3,ST018__ST020,2
DEGREE_LIMIT_3,ST018__ST031,2
DEGREE_LIMIT_3,ST018__ST043,1
DEGREE_LIMIT_3,ST018__ST045,1
DEGREE_LIMIT_3,ST019__ST020,3
