case_a,case_b,jaccard
balanced|MST,balanced|T2_SPANNER,0.20074349442379183
balanced|MST,balanced|DEGREE_LIMIT_3,0.4794520547945205
balanced|MST,distance_focus|MST,0.17391304347826086
balanced|MST,distance_focus|T2_SPANNER,0.1736842105263158
balanced|MST,distance_focus|DEGREE_LIMIT_3,0.16129032258064516
balanced|MST,lane_focus|MST,0.38461538461538464
balanced|MST,lane_focus|T2_SPANNER,0.1583011583011583
balanced|MST,lane_focus|DEGREE_LIMIT_3,0.2857142857142857
balanced|MST,protection_focus|MST,0.3333333333333333
balanced|MST,protection_focus|T2_SPANNER,0.18048780487804877
balanced|MST,protection_focus|DEGREE_LIMIT_3,0.30120481927710846
balanced|MST,slope_focus|MST,0.44
balanced|MST,slope_focus|T2_SPANNER,0.20920502092050208
balanced|MST,slope_focus|DEGREE_LIMIT_3,0.3170731707317073
balanced|T2_SPANNER,balanced|DEGREE_LIMIT_3,0.16606498194945848
balanced|T2_SPANNER,distance_focus|MST,0.09863945578231292
balanced|T2_SPANNER,distance_focus|T2_SPANNER,0.18059299191374664
balanced|T2_SPANNER,distance_focus|DEGREE_LIMIT_3,0.09121621621621621
balanced|T2_SPANNER,lane_focus|MST,0.1494661921708185
balanced|T2_SPANNER,lane_focus|T2_SPANNER,0.3770053475935829
balanced|T2_SPANNER,lane_focus|DEGREE_LIMIT_3,0.1453900709219858
balanced|T2_SPANNER,protection_focus|MST,0.13333333333333333
balanced|T2_SPANNER,protection_focus|T2_SPANNER,0.23513513513513515
balanced|T2_SPANNER,protection_focus|DEGREE_LIMIT_3,0.1413427561837456
balanced|T2_SPANNER,slope_focus|MST,0.1413427561837456
balanced|T2_SPANNER,slope_focus|T2_SPANNER,0.3584905660377358
balanced|T2_SPANNER,slope_focus|DEGREE_LIMIT_3,0.13333333333333333
balanced|DEGREE_LIMIT_3,distance_focus|MST,0.2
balanced|DEGREE_LIMIT_3,distance_focus|T2_SPANNER,0.1989247311827957
balanced|DEGREE_LIMIT_3,distance_focus|DEGREE_LIMIT_3,0.18681318681318682
balanced|DEGREE_LIMIT_3,lane_focus|MST,0.2857142857142857
balanced|DEGREE_LIMIT_3,lane_focus|T2_SPANNER,0.13636363636363635
balanced|DEGREE_LIMIT_3,lane_focus|DEGREE_LIMIT_3,0.4025974025974026
balanced|DEGREE_LIMIT_3,protection_focus|MST,0.2558139534883721
balanced|DEGREE_LIMIT_3,protection_focus|T2_SPANNER,0.13615023474178403
balanced|DEGREE_LIMIT_3,protection_focus|DEGREE_LIMIT_3,0.3670886075949367
balanced|DEGREE_LIMIT_3,slope_focus|MST,0.3333333333333333
balanced|DEGREE_LIMIT_3,slope_focus|T2_SPANNER,0.17479674796747968
balanced|DEGREE_LIMIT_3,slope_focus|DEGREE_LIMIT_3,0.3170731707317073
distance_focus|MST,distance_focus|T2_SPANNER,0.31952662721893493
distance_focus|MST,distance_focus|DEGREE_LIMIT_3,0.8947368421052632
distance_focus|MST,lane_focus|MST,0.14893617021276595
distance_focus|MST,lane_focus|T2_SPANNER,0.08303249097472924
distance_focus|MST,lane_focus|DEGREE_LIMIT_3,0.17391304347826086
distance_focus|MST,protection_focus|MST,0.17391304347826086
distance_focus|MST,protection_focus|T2_SPANNER,0.08035714285714286
distance_focus|MST,protection_focus|DEGREE_LIMIT_3,0.22727272727272727
distance_focus|MST,slope_focus|MST,0.3170731707317073
distance_focus|MST,slope_focus|T2_SPANNER,0.156
distance_focus|MST,slope_focus|DEGREE_LIMIT_3,0.30120481927710846
distance_focus|T2_SPANNER,distance_focus|DEGREE_LIMIT_3,0.31176470588235294
distance_focus|T2_SPANNER,lane_focus|MST,0.12626262626262627
distance_focus|T2_SPANNER,lane_focus|T2_SPANNER,0.1527777777777778
distance_focus|T2_SPANNER,lane_focus|DEGREE_LIMIT_3,0.18617021276595744
distance_focus|T2_SPANNER,protection_focus|MST,0.14358974358974358
distance_focus|T2_SPANNER,protection_focus|T2_SPANNER,0.1553398058252427
distance_focus|T2_SPANNER,protection_focus|DEGREE_LIMIT_3,0.17989417989417988
distance_focus|T2_SPANNER,slope_focus|MST,0.22527472527472528
distance_focus|T2_SPANNER,slope_focus|T2_SPANNER,0.2625
distance_focus|T2_SPANNER,slope_focus|DEGREE_LIMIT_3,0.2185792349726776
distance_focus|DEGREE_LIMIT_3,lane_focus|MST,0.1368421052631579
distance_focus|DEGREE_LIMIT_3,lane_focus|T2_SPANNER,0.07526881720430108
distance_focus|DEGREE_LIMIT_3,lane_focus|DEGREE_LIMIT_3,0.16129032258064516
distance_focus|DEGREE_LIMIT_3,protection_focus|MST,0.16129032258064516
distance_focus|DEGREE_LIMIT_3,protection_focus|T2_SPANNER,0.08520179372197309
distance_focus|DEGREE_LIMIT_3,protection_focus|DEGREE_LIMIT_3,0.21348314606741572
distance_focus|DEGREE_LIMIT_3,slope_focus|MST,0.30120481927710846
distance_focus|DEGREE_LIMIT_3,slope_focus|T2_SPANNER,0.14682539682539683
distance_focus|DEGREE_LIMIT_3,slope_focus|DEGREE_LIMIT_3,0.2857142857142857
lane_focus|MST,lane_focus|T2_SPANNER,0.21951219512195122
lane_focus|MST,lane_focus|DEGREE_LIMIT_3,0.4025974025974026
lane_focus|MST,protection_focus|MST,0.1368421052631579
lane_focus|MST,protection_focus|T2_SPANNER,0.12558139534883722
lane_focus|MST,protection_focus|DEGREE_LIMIT_3,0.18681318681318682
lane_focus|MST,slope_focus|MST,0.22727272727272727
lane_focus|MST,slope_focus|T2_SPANNER,0.1422924901185771
lane_focus|MST,slope_focus|DEGREE_LIMIT_3,0.18681318681318682
lane_focus|T2_SPANNER,lane_focus|DEGREE_LIMIT_3,0.16279069767441862
lane_focus|T2_SPANNER,protection_focus|MST,0.10294117647058823
lane_focus|T2_SPANNER,protection_focus|T2_SPANNER,0.20891364902506965
lane_focus|T2_SPANNER,protection_focus|DEGREE_LIMIT_3,0.0948905109489051
lane_focus|T2_SPANNER,slope_focus|MST,0.1070110701107011
lane_focus|T2_SPANNER,slope_focus|T2_SPANNER,0.29649595687331537
lane_focus|T2_SPANNER,slope_focus|DEGREE_LIMIT_3,0.0989010989010989
lane_focus|DEGREE_LIMIT_3,protection_focus|MST,0.17391304347826086
lane_focus|DEGREE_LIMIT_3,protection_focus|T2_SPANNER,0.12558139534883722
lane_focus|DEGREE_LIMIT_3,protection_focus|DEGREE_LIMIT_3,0.22727272727272727
lane_focus|DEGREE_LIMIT_3,slope_focus|MST,0.22727272727272727
lane_focus|DEGREE_LIMIT_3,slope_focus|T2_SPANNER,0.1377952755905512
